Date,Effective Yield, 
12/31/1996,5.048,
1/2/1997,5.026,
1/3/1997,4.984,
1/6/1997,4.982,
1/7/1997,5.064,
1/8/1997,5.094,
1/9/1997,5.052,
1/10/1997,5.092,
1/13/1997,5.121,
1/14/1997,5.120,
1/15/1997,5.038,
1/16/1997,5.119,
1/17/1997,5.077,
1/20/1997,5.075,
1/21/1997,5.084,
1/22/1997,5.104,
1/23/1997,5.063,
1/24/1997,5.062,
1/27/1997,5.080,
1/28/1997,5.059,
1/29/1997,5.038,
1/30/1997,5.037,
1/31/1997,4.991,
2/3/1997,4.958,
2/4/1997,4.968,
2/5/1997,4.937,
2/6/1997,4.936,
2/7/1997,4.956,
2/10/1997,5.015,
2/11/1997,5.035,
2/12/1997,5.034,
2/13/1997,4.931,
2/14/1997,4.920,
2/18/1997,4.969,
2/19/1997,4.927,
2/20/1997,4.866,
2/21/1997,4.773,
2/24/1997,4.802,
2/25/1997,4.832,
2/26/1997,4.719,
2/27/1997,4.892,
2/28/1997,5.073,
3/3/1997,5.071,
3/4/1997,5.050,
3/5/1997,5.008,
3/6/1997,5.028,
3/7/1997,5.027,
3/10/1997,5.025,
3/11/1997,5.024,
3/12/1997,5.014,
3/13/1997,5.054,
3/14/1997,5.073,
3/17/1997,5.081,
3/18/1997,5.162,
3/19/1997,5.131,
3/20/1997,5.181,
3/21/1997,5.191,
3/24/1997,5.209,
3/25/1997,5.381,
3/26/1997,5.360,
3/27/1997,5.034,
3/31/1997,5.265,
4/1/1997,5.132,
4/2/1997,5.182,
4/3/1997,5.161,
4/4/1997,5.191,
4/7/1997,5.209,
4/8/1997,5.208,
4/9/1997,5.187,
4/10/1997,5.196,
4/11/1997,5.175,
4/14/1997,5.173,
4/15/1997,5.183,
4/16/1997,5.172,
4/17/1997,5.130,
4/18/1997,5.129,
4/21/1997,5.127,
4/22/1997,5.086,
4/23/1997,5.085,
4/24/1997,5.003,
4/25/1997,5.033,
4/28/1997,5.051,
4/29/1997,5.020,
4/30/1997,5.013,
5/1/1997,5.002,
5/2/1997,4.930,
5/5/1997,4.907,
5/6/1997,4.907,
5/7/1997,4.875,
5/8/1997,4.875,
5/9/1997,4.843,
5/12/1997,4.821,
5/13/1997,4.759,
